row,col
169,21
169,23
169,66
169,67
169,68
169,69
169,73
169,100
169,114
169,156
170,7
170,9
170,10
170,13
170,14
170,15
170,16
170,18
170,20
170,21
170,22
170,23
170,68
170,70
170,94
170,96
170,130
170,131
171,8
171,9
171,11
171,12
171,13
171,17
171,19
171,20
171,21
171,22
171,23
171,71
171,73
171,76
171,98
171,130
172,7
172,10
172,12
172,13
172,14
172,16
172,20
172,21
172,22
172,72
173,6
173,11
173,12
173,13
173,15
173,17
173,18
173,20
173,23
173,73
173,80
173,136
174,2
174,7
174,9
174,10
174,13
174,14
174,16
174,17
174,19
174,20
174,21
174,22
174,23
174,65
174,78
175,6
175,7
175,8
175,9
175,11
175,12
175,15
175,16
175,17
175,18
175,19
175,20
175,22
175,23
175,45
175,138
175,168
176,4
176,6
176,7
176,8
176,9
176,10
176,11
176,13
176,14
176,15
176,16
176,17
176,18
176,19
176,22
176,82
176,83
176,88
176,168
177,6
177,7
177,8
177,9
177,10
177,11
177,12
177,13
177,14
177,15
177,16
177,18
177,19
177,21
177,110
177,144
178,4
178,6
178,7
178,8
178,10
178,12
178,13
178,14
178,17
178,18
178,20
178,21
178,23
178,50
179,6
179,7
179,9
179,11
179,12
179,13
179,15
179,16
179,17
179,19
179,20
179,40
179,85
179,166
180,6
180,7
180,8
180,9
180,10
180,11
180,12
180,13
180,14
180,15
180,16
180,17
180,18
180,24
180,92
180,94
180,134
181,6
181,7
181,8
181,9
181,10
181,11
181,12
181,13
181,14
181,15
181,16
181,17
181,19
181,20
181,21
181,87
181,88
181,96
181,136
182,8
182,9
182,10
182,11
182,12
182,13
182,14
182,15
182,16
182,17
182,18
182,19
182,20
182,21
182,29
182,93
182,118
183,8
183,10
183,11
183,12
183,14
183,15
183,16
183,17
183,18
183,19
183,20
183,21
183,22
183,23
183,60
183,96
183,98
184,9
184,13
184,14
184,15
184,16
184,17
184,18
184,19
184,20
184,21
184,22
184,122
185,8
185,11
185,12
185,13
185,14
185,16
185,17
185,18
185,19
185,20
185,21
185,98
185,124
186,9
186,10
186,12
186,15
186,16
186,17
186,18
186,20
186,21
186,23
186,25
186,102
186,104
187,6
187,8
187,9
187,11
187,14
187,16
187,17
187,19
187,20
187,22
187,100
187,102
187,106
187,128
188,10
188,12
188,13
188,14
188,18
188,19
188,23
189,8
189,9
189,13
189,15
189,21
189,22
189,23
189,26
189,112
189,113
190,8
190,9
190,11
190,12
190,13
190,14
190,15
190,16
190,22
190,29
190,108
190,110
190,112
190,114
191,8
191,9
191,10
191,11
191,12
191,13
191,14
191,15
191,28
191,33
191,106
191,138
191,170
192,8
192,12
192,13
192,17
192,112
193,11
193,12
193,13
193,16
193,32
193,35
193,112
193,140
194,13
194,14
194,17
194,19
194,28
194,34
194,112
194,116
195,8
195,16
195,18
195,19
195,20
195,52
195,118
195,144
196,6
196,7
196,9
196,10
196,17
196,18
196,19
196,35
196,36
196,39
196,42
196,44
196,72
196,122
196,123
197,6
197,11
197,12
197,18
197,43
197,45
197,122
197,123
198,7
198,13
198,24
198,41
198,44
198,45
198,122
199,6
199,10
199,46
199,132
200,3
200,11
200,13
200,25
200,26
200,27
200,30
200,38
200,43
200,62
200,124
200,168
201,7
201,8
201,10
201,15
201,16
201,26
201,27
201,29
201,31
201,42
201,45
201,50
201,54
201,64
202,6
202,7
202,9
202,12
202,14
202,15
202,17
202,47
203,8
203,9
203,14
203,15
203,21
203,28
203,33
203,34
203,38
203,46
203,134
204,8
204,11
204,14
204,16
204,20
204,21
204,22
204,32
204,35
204,36
204,49
204,56
204,138
205,15
205,17
205,19
205,20
205,32
205,37
205,48
205,49
205,56
205,58
205,132
206,3
206,9
206,15
206,16
206,17
206,21
206,22
206,36
206,39
206,50
206,62
206,88
206,138
207,8
207,10
207,20
207,22
207,29
207,60
208,2
208,10
208,26
208,28
208,29
208,38
208,54
209,8
209,25
209,26
209,28
209,44
209,45
209,172
210,28
210,42
210,59
210,68
210,72
211,1
211,8
211,35
211,49
211,62
211,63
211,66
212,0
212,1
212,5
212,7
212,9
212,29
212,30
212,32
212,33
212,34
212,72
213,0
213,1
213,34
213,35
213,46
213,65
213,66
213,67
214,0
214,1
214,3
214,5
214,9
214,14
214,15
214,32
214,36
214,41
214,42
214,48
214,49
214,52
214,53
214,68
214,69
214,70
215,0
215,1
215,4
215,8
215,9
215,18
215,35
215,43
215,54
215,80
216,8
216,13
216,18
216,20
216,41
216,42
216,43
216,53
216,55
216,56
216,70
216,76
217,5
217,9
217,12
217,15
217,22
217,36
217,37
217,47
217,54
217,72
218,1
218,8
218,40
218,43
218,48
218,49
218,59
219,0
219,1
219,8
219,47
219,48
219,49
219,61
219,98
220,0
220,2
220,6
220,10
220,18
220,34
220,43
220,45
220,46
220,48
220,52
220,59
220,78
221,3
221,14
221,30
221,44
221,48
221,68
222,1
222,2
222,3
222,4
222,5
222,24
222,45
222,62
222,80
222,81
222,104
223,4
223,21
223,22
223,33
223,47
223,51
223,66
223,68
223,84
224,3
224,11
224,18
224,20
224,48
224,55
224,72
224,73
225,10
225,18
225,36
225,48
225,52
225,54
225,55
225,61
225,62
225,72
225,110
226,0
226,7
226,9
226,11
226,13
226,22
226,43
226,62
226,63
226,71
226,92
227,6
227,10
227,12
227,13
227,16
227,18
227,24
227,25
227,26
227,41
227,60
227,77
228,12
228,14
228,17
228,19
228,24
228,28
228,33
228,34
228,40
228,61
228,66
228,68
228,94
228,96
229,8
229,16
229,17
229,18
229,19
229,30
229,32
229,35
229,36
229,63
229,80
230,3
230,13
230,18
230,19
230,34
230,36
230,37
230,38
230,39
230,44
230,45
230,47
230,62
230,64
230,68
230,83
230,84
230,96
231,18
231,19
231,20
231,21
231,32
231,33
231,41
231,46
231,65
231,69
231,84
231,98
231,102
232,14
232,20
232,21
232,32
232,36
232,42
232,43
232,72
232,73
232,74
232,88
232,104
233,0
233,18
233,20
233,21
233,28
233,40
233,42
233,43
233,44
233,70
233,72
233,75
233,126
234,0
234,8
234,11
234,12
234,20
234,38
234,42
234,43
234,45
234,60
235,1
235,33
235,38
235,44
235,46
235,48
235,106
235,110
236,0
236,26
236,29
236,30
236,35
236,42
236,43
236,47
236,48
236,57
236,74
236,75
236,78
236,79
236,80
236,108
237,25
237,30
237,34
237,35
237,44
237,58
237,78
237,96
238,16
238,19
238,20
238,32
238,34
